#"date","meal","food","weight"
190119,"b","Bread, white, average",36.0
190119,"b","Eggs, chicken, whole, raw",52.0
190119,"b","butter,clarified",5.0
190119,"b","Ham,parmacotto",20.0
190119,"l","Sweet potato, boiled in unsalted water, flesh only",90.0
190119,"l","Tomatoes, standard, raw",100.0
190119,"l","Spinach, baby, raw",50.0
190119,"l","mayoyo",24.0
190119,"l","cheese, spread,milbona",50.0
190119,"d","Turkey, light meat, raw",150.0
190119,"d","Avocado, average, flesh only",100.0
190119,"d","Cucumber, raw, flesh and skin",100.0
190119,"br","chocolate,schegetten,nut",22.0
190119,"br","Coronation chicken, veronica",60.0
190120,"b","Bread, white, average",36.0
190120,"b","jam, apricot, hero",6.0
190120,"l","Pasta, egg, white, dried, raw",75.0
190120,"l","Aubergine, raw",70.0
190120,"l","Cheese, Ricotta",50.0
190120,"l","passata",70.0
190120,"br","pusd",170.0
190120,"br","Apples, eating, raw, flesh and skin",137.0
190120,"d","Curry,ryoux,japanese",32.5
190120,"d","Potatoes, new and salad, flesh only, raw",120.0
190120,"d","Carrots, old, raw",39.0
190120,"d","Onions, raw",42.0
190120,"d","Turkey, light meat, raw",100.0
190120,"d","Apples, eating, raw, flesh and skin",26.5
190120,"d","Rice, white, basmati, raw",50.0
190121,"b","Bread, white, average",36.0
190121,"b","Eggs, chicken, whole, raw",52.0
190121,"b","Ham,parmacotto",20.0
190121,"l","Potatoes, old, boiled in salted water, flesh only",150.0
190121,"l","Tomatoes, standard, raw",120.0
190121,"l","Tuna, canned in sunflower oil, drained",52
190121,"br","Coronation chicken, veronica",80.0
190121,"br","chocolate,schegetten,nut",26.5
190121,"d","Spinach, baby, raw",100.0
190121,"d","Pork, diced, raw, lean",150.0
190121,"d","Onions, raw",42.0
190121,"d","Garlic, raw",5.0
190121,"br","Frankfuter,mixed",100
190121,"br","mayoyo",10.0
190121,"br","Mayonnaise, standard, retail",30.0
190122,"b","Bread, white, average",36.0
190122,"b","Eggs, chicken, whole, raw",52.0
190122,"b","butter,clarified",10
190122,"br","Cheese, hard, average",160
190122,"l","Potatoes, old, boiled in salted water, flesh only",150.0
190122,"l","Tomatoes, standard, raw",120.0
190122,"l","Tuna, canned in sunflower oil, drained",52
190122,"d","Spinach, baby, raw",100.0
190122,"d","Pork, diced, raw, lean",150
190122,"d","Onions, raw",42.0
190122,"d","Garlic, raw",5.0
190122,"br","Chicken portions, battered, deep fried, takeaway",85.0
190122,"br","Melon, Galia, flesh only",200.0
190123,"b","Bread, white, average",36.0
190123,"b","Eggs, chicken, whole, raw",52.0
190123,"b","butter,clarified",10.0
190123,"l","Potatoes, old, boiled in salted water, flesh only",150.0
190123,"l","Tomatoes, standard, raw",60.0
190123,"l","Cucumber, raw, flesh and skin",81
190123,"l","Tuna, canned in sunflower oil, drained",52
190123,"l","Mayonnaise, standard, retail",24
190123,"d","Spinach, baby, raw",100.0
190123,"d","Pork, diced, raw, lean",150.0
190123,"d","Onions, raw",42.0
190123,"d","Garlic, raw",5.0
190123,"d","Cucumber, raw, flesh and skin",81
190123,"d","Avocado, average, flesh only",50.0
190123,"br","chocolate,schegetten,nut",16.5
190123,"br","Avocado, average, flesh only",100.0
190123,"br","Coronation chicken, veronica",80.0
190124,"b","Cornmeal, sifted",50.0
190124,"b","butter,clarified",5.0
190124,"br","pusd",60.0
190124,"l","Pasta, egg, white, dried, raw",75.0
190124,"l","Cream, dairy, extra thick (24% fat)",62.5
190124,"l","Pesto, green",12.0
190124,"br","chocolate,schegetten,nut",5.5
190124,"d","Pork, diced, raw, lean",100
190124,"d","Pepper, capsicum, red, raw",50.0
190124,"d","Noodles, rice, fine, dried, boiled in unsalted water",75.0
190124,"d","Sweetcorn kernels, canned in water, drained",25.0
190126,"b","Bread, white, average",36.0
190126,"b","Eggs, chicken, whole, raw",52.0
190126,"b","butter,clarified",5
190126,"l","Lentils, green and brown, whole, dried, raw",47.5
190126,"l","Cabbage, average, raw",100.0
190126,"l","Tomatoes, standard, raw",100.0
190126,"l","Bacon rashers, back, raw",50.0
190126,"d","Turkey, light meat, raw",100.0
190126,"d","Onions, raw",42.0
190126,"d","Pepper, capsicum, red, raw",50.0
190126,"d","Mushrooms, white, raw",50
190126,"d","Yogurt, low fat, plain",100
190126,"br","Peanuts, dry roasted",5
190126,"br","Chestnuts, dried",30.0
190126,"br","Avocado, average, flesh only",200.0
190126,"br","Turkey, light meat, raw",150.0
190126,"br","Mayonnaise, standard, retail",30.0
190126,"br","Salami",50.0
190126,"br","chocolate,schegetten,nut",11
190127,"b","Bread, white, average",36.0
190127,"b","Eggs, chicken, whole, raw",52.0
190127,"b","butter,clarified",5
190127,"l","Lentils, green and brown, whole, dried, raw",47.5
190127,"l","Cabbage, average, raw",100.0
190127,"l","Tomatoes, standard, raw",100.0
190127,"l","Bacon rashers, back, raw",50.0
190127,"d","Turkey, light meat, raw",200.0
190127,"d","Onions, raw",42.0
190127,"d","Pepper, capsicum, red, raw",50.0
190127,"d","Yogurt, low fat, plain",100
190127,"br","Avocado, average, flesh only",100.0
190127,"br","Turkey, light meat, raw",150.0
190127,"br","Mayonnaise, standard, retail",40.0
190127,"br","chocolate,schegetten,nut",16.5
190202,"b","Bread, white, average",36.0
190202,"b","Eggs, chicken, whole, raw",52.0
190202,"b","butter,clarified",5
190202,"l","Cabbage, average, raw",100.0
190202,"l","Potatoes, new and salad, flesh only, raw",150.0
190202,"l","butter,clarified",2.8
190202,"l","Milk, 1% fat, pasteurised",19.5
190202,"l","Bacon rashers, back, raw",33.3
190202,"d","Onions, raw",42.0
190202,"d","Pepper, capsicum, red, raw",100.0
190202,"d","Oil, sunflower",10.0
190202,"d","Pork, diced, raw, lean",100.0
190202,"br","chocolate,schegetten,nut",55.0
190202,"br","Oranges, flesh only",100.0
190202,"br","Cheese, Feta",100.0
190202,"br","Turkey, light meat, raw",200.0
190202,"br","Avocado, average, flesh only",100.0
190202,"br","Bread, white, average",36.0
190203,"b","Bread, white, average",36.0
190203,"b","Eggs, chicken, whole, raw",52.0
190203,"b","butter,clarified",5
190203,"l","Cabbage, average, raw",100.0
190203,"l","Potatoes, new and salad, flesh only, raw",150.0
190203,"l","butter,clarified",2.8
190203,"l","Milk, 1% fat, pasteurised",19.5
190203,"l","Bacon rashers, back, raw",33.3
190203,"d","Onions, raw",42.0
190203,"d","Pepper, capsicum, red, raw",100.0
190203,"d","Oil, sunflower",10.0
190203,"d","Pork, diced, raw, lean",100.0
190203,"br","chocolate,schegetten,nut",11.0
190203,"br","Oranges, flesh only",25.0
190203,"br","Cheese, Feta",26.0
190203,"br","Turkey, light meat, raw",100.0
190203,"br","Avocado, average, flesh only",100.0
190203,"br","mayoyo",25.0
190204,"b","Bread, white, average",36.0
190204,"b","Eggs, chicken, whole, raw",52.0
190204,"b","butter,clarified",5
190204,"l","Cabbage, average, raw",100.0
190204,"l","Potatoes, new and salad, flesh only, raw",150.0
190204,"l","butter,clarified",2.8
190204,"l","Milk, 1% fat, pasteurised",19.5
190204,"l","Bacon rashers, back, raw",33.3
190204,"d","Onions, raw",42.0
190204,"d","Pepper, capsicum, red, raw",100.0
190204,"d","Oil, sunflower",10.0
190204,"d","Pork, diced, raw, lean",100.0
190204,"br","chocolate,schegetten,nut",11.0
190204,"br","Cheese, Feta",15.0
190204,"br","Turkey, light meat, raw",100.0
190204,"br","Avocado, average, flesh only",100.0
190204,"br","mayoyo",25.0
190204,"br","crunchy,dark",22.0
190205,"b","Bread, white, average",63.0
190205,"b","margarine",10.0
190206,"b","Bread, white, average",36.0
190206,"b","Eggs, chicken, whole, raw",52.0
190206,"b","margarine",5.0
190206,"l","Tomatoes, standard, raw",100.0
190206,"l","Potatoes, new and salad, flesh only, raw",150.0
190206,"l","Cod, flesh only, raw",100
190206,"l","Oil, sunflower",3.5
190206,"d","Turkey, light meat, raw",150.0
190206,"d","Spinach, baby, raw",100.0
190206,"d","Tomato ketchup",20.0
190206,"d","mayoyo",25.0
190206,"br","Turkey, light meat, raw",100.0
190206,"br","Avocado, average, flesh only",100.0
190206,"br","mayoyo",25.0
190206,"br","chocolate,schegetten,nut",22.0
190207,"b","Bread, white, average",36.0
190207,"b","Eggs, chicken, whole, raw",52.0
190207,"b","margarine",5.0
190207,"l","Tomatoes, standard, raw",100.0
190207,"l","Potatoes, new and salad, flesh only, raw",150.0
190207,"l","Cod, flesh only, raw",100
190207,"l","Oil, sunflower",3.5
190207,"d","Turkey, light meat, raw",150.0
190207,"d","Spinach, baby, raw",100.0
190207,"d","mayoyo",65.0
190207,"br","Turkey, light meat, raw",100.0
190207,"br","Avocado, average, flesh only",100.0
190207,"br","mayoyo",25.0
190207,"d","Tomato ketchup",20.0
190207,"br","chocolate,schegetten,nut",11.0
190207,"br","Oranges, flesh only",25.0
190207,"br","almond bites",13.0
190207,"br","salamini",45.0
190208,"b","Bread, white, average",36.0
190208,"b","Eggs, chicken, whole, raw",52.0
190208,"b","margarine",5.0
190208,"l","Tomatoes, standard, raw",100.0
190208,"l","Potatoes, new and salad, flesh only, raw",150.0
190208,"l","Cod, flesh only, raw",100
190208,"l","Oil, sunflower",3.5
190208,"d","Turkey, light meat, raw",150.0
190208,"d","Spinach, baby, raw",100.0
190208,"d","mayoyo",65.0
190208,"br","Pork, diced, raw, lean",100.0
190208,"br","Avocado, average, flesh only",100.0
190208,"l","mayoyo",50.0
190208,"d","Tomato ketchup",20.0
190208,"br","chocolate,schegetten,nut",22.0
190208,"br","bread,potato",20.0
190208,"br","almond bites",13.0
190208,"br","Oranges, flesh only",25.0
190210,"b","Bread, white, average",36.0
190210,"b","Eggs, chicken, whole, raw",52.0
190210,"b","margarine",5.0
190210,"l","Potatoes, new and salad, flesh only, raw",150.0
190210,"l","Tuna, canned in sunflower oil, drained",52
190210,"l","Onions, raw",52.0
190210,"br","almond bites",26.0
190210,"br","Oranges, flesh only",25.0
190210,"br","chocolate,schegetten,nut",16.5
190210,"d","Pork, diced, raw, lean",150.0
190210,"d","Oil, sunflower",15.0
190210,"br","Beef, braising steak, raw, lean",100.0
190210,"br","Avocado, average, flesh only",100.0
190210,"br","mayoyo",50.0
190211,"b","Bread, white, average",36.0
190211,"b","Eggs, chicken, whole, raw",52.0
190211,"b","margarine",5.0
190211,"l","Potatoes, new and salad, flesh only, raw",150.0
190211,"l","Tuna, canned in sunflower oil, drained",52
190211,"l","Onions, raw",52.0
190211,"br","chocolate,schegetten,nut",11.0
190211,"d","Pork, diced, raw, lean",150.0
190211,"d","passata",50.0
190211,"d","Oil, sunflower",15.0
190211,"br","Pork, diced, raw, lean",100.0
190211,"br","Avocado, average, flesh only",100.0
190211,"br","mayoyo",25.0
190211,"br","Cheese, Gouda",25.0
190211,"br","Ham",20.0
190213,"b","Bread, white, average",36.0
190213,"b","Eggs, chicken, whole, raw",52.0
190213,"b","margarine",5.0
190213,"l","Potatoes, new and salad, flesh only, raw",150.0
190213,"l","Tuna, canned in sunflower oil, drained",52
190213,"l","Onions, raw",52.0
190213,"d","Pork, diced, raw, lean",150.0
190213,"d","passata",50.0
190213,"d","Oil, sunflower",15.0
190213,"br","Ham",20.0
190213,"br","Avocado, average, flesh only",100.0
190213,"br","mayoyo",25.0
190213,"br","Turkey, light meat, raw",150.0
190214,"b","Ham",20.0
190214,"b","Bread, white, average",36.0
190214,"b","Eggs, chicken, whole, raw",52.0
190214,"b","margarine",5.0
190214,"br","chocolate,schegetten,nut",16.5
190214,"br","Avocado, average, flesh only",100.0
190214,"br","mayoyo",25.0
190214,"l","Potatoes, new and salad, flesh only, raw",150.0
190214,"l","Bacon rashers, back, raw",33.3
190214,"l","passata",100.0
190214,"l","Cheese, Ricotta",30.0
190214,"d","Turkey, light meat, raw",150.0
190214,"d","Pepper, capsicum, red, raw",40.0
190214,"d","Tomatoes, standard, raw",50.0
190214,"d","Cream, dairy, extra thick (24% fat)",62.5
190214,"br","almond bites",13.0
190215,"b","Bread, white, average",36.0
190215,"b","Eggs, chicken, whole, raw",52.0
190215,"b","margarine",5.0
190215,"br","chocolate,schegetten,nut",5.5
190215,"br","Avocado, average, flesh only",50.0
190215,"br","mayoyo",13.0
190215,"l","Potatoes, new and salad, flesh only, raw",150.0
190215,"l","Bacon rashers, back, raw",33.3
190215,"l","passata",100.0
190215,"l","Cheese, Mozzarella, fresh",30.0
190215,"d","Turkey, light meat, raw",150.0
190215,"d","Pepper, capsicum, red, raw",60.0
190215,"d","Tomatoes, standard, raw",50.0
190215,"d","Cream, dairy, extra thick (24% fat)",62.5
190215,"br","almond bites",13.0
190215,"br","Mango, unripe, green flesh, raw",200.0
190215,"br","Nuts, mixed",20.0
190216,"b","Bread, white, average",36.0
190216,"b","Eggs, chicken, whole, raw",52.0
190216,"b","margarine",5.0
190216,"br","chocolate,schegetten,nut",11.0
190216,"br","mayoyo",25.0
190216,"l","Potatoes, new and salad, flesh only, raw",150.0
190216,"l","Bacon rashers, back, raw",33.3
190216,"l","passata",100.0
190216,"l","Cheese, Mozzarella, fresh",20.0
190216,"d","Turkey, light meat, raw",450.0
190216,"d","Pepper, capsicum, red, raw",60.0
190216,"d","Tomatoes, standard, raw",50.0
190216,"d","Cream, dairy, extra thick (24% fat)",120.0
190216,"br","Oranges, flesh only",50.0
190218,"b","Bread, white, average",36.0
190218,"b","Eggs, chicken, whole, raw",52.0
190218,"b","butter,clarified",5
190218,"br","almond bites",13.0
190218,"d","Pork, diced, raw, lean",150.0
190218,"d","Oil, sunflower",5.0
190218,"d","Aubergine, raw",150.0
190218,"br","chocolate,schegetten,nut",11.0
190218,"br","Oranges, flesh only",25.0
190218,"br","Beef, braising steak, raw, lean",100.0
190218,"br","Avocado, average, flesh only",50.0
190218,"br","mayoyo",8.0
190218,"l","Lentils, green and brown, whole, dried, raw",40.0
190218,"l","Cabbage, average, raw",75.0
190218,"l","Tomatoes, standard, raw",100.0
190218,"l","Bacon rashers, back, raw",33.3
190219,"b","Bread, white, average",36.0
190219,"b","Eggs, chicken, whole, raw",52.0
190219,"b","butter,clarified",5
190219,"br","almond bites",26.0
190219,"d","Pork, diced, raw, lean",150.0
190219,"d","Oil, sunflower",5.0
190219,"d","Aubergine, raw",150.0
190219,"br","chocolate,schegetten,nut",11.0
190219,"br","Beef, braising steak, raw, lean",100.0
190219,"br","Avocado, average, flesh only",50.0
190219,"br","mayoyo",15.0
190219,"l","Lentils, green and brown, whole, dried, raw",40.0
190219,"l","Cabbage, average, raw",75.0
190219,"l","Tomatoes, standard, raw",100.0
190219,"l","Bacon rashers, back, raw",33.3
190219,"br","Cheese, Mozzarella, fresh",30.0
190220,"b","Bread, white, average",36.0
190220,"b","Eggs, chicken, whole, raw",52.0
190220,"b","butter,clarified",5
190220,"br","almond bites",26.0
190220,"d","Pork, diced, raw, lean",150.0
190220,"d","Oil, sunflower",5.0
190220,"d","Aubergine, raw",150.0
190220,"br","chocolate,schegetten,nut",11.0
190220,"br","Beef, braising steak, raw, lean",100.0
190220,"br","Avocado, average, flesh only",65.0
190220,"br","mayoyo",15.0
190220,"br","Tomatoes, standard, raw",91.0
190220,"l","Lentils, green and brown, whole, dried, raw",40.0
190220,"l","Cabbage, average, raw",75.0
190220,"l","Tomatoes, standard, raw",100.0
190220,"l","Bacon rashers, back, raw",33.3
190220,"br","Cheese, Mozzarella, fresh",25.0
190222,"b","Bread, white, average",36.0
190222,"b","Eggs, chicken, whole, raw",52.0
190222,"b","butter,clarified",5
190222,"d","Turkey, light meat, raw",150.0
190222,"d","Pepper, capsicum, red, raw",100
190222,"d","Yogurt, low fat, plain",50.0
190222,"d","Onions, raw",42.0
190222,"d","Tomatoes, standard, raw",50.0
190222,"l","Cabbage, average, raw",85.0
190222,"l","Potatoes, new and salad, flesh only, raw",140.0
190222,"l","butter,clarified",2.5
190222,"l","Milk, 1% fat, pasteurised",17.0
190222,"l","Bacon rashers, back, raw",33.0
190222,"br","Avocado, average, flesh only",1.0
190222,"br","mayoyo",15.0
190222,"br","Turkey, light meat, raw",100.0
190222,"br","almond bites",13.0
190222,"br","chocolate,schegetten,nut",5.5
190222,"br","Cheese, Feta",50.0
190223,"b","Bread, white, average",36.0
190223,"b","Eggs, chicken, whole, raw",52.0
190223,"b","Cheese, Feta",15.0
190223,"d","Turkey, light meat, raw",150.0
190223,"d","Pepper, capsicum, red, raw",111.7
190223,"d","Onions, raw",35.3
190223,"d","Tomatoes, standard, raw",37.0
190223,"b","Bacon rashers, back, raw",15.0
190223,"br","Avocado, average, flesh only",66.0
190223,"br","mayoyo",15.0
190223,"br","Turkey, light meat, raw",100.0
190223,"br","almond bites",26.0
190223,"br","chocolate,schegetten,nut",11.0
190223,"br","Cheese, Feta",50.0
190223,"l","crepes,choco",32.0
190224,"b","Bread, white, average",36.0
190224,"b","Eggs, chicken, whole, raw",52.0
190224,"b","butter,clarified",5
190224,"d","Turkey, light meat, raw",150.0
190224,"d","Pepper, capsicum, red, raw",111.7
190224,"d","mayoyo",15.0
190224,"d","Onions, raw",35.3
190224,"d","Tomatoes, standard, raw",37.0
190224,"l","Cabbage, average, raw",75.0
190224,"l","Potatoes, new and salad, flesh only, raw",150.0
190224,"l","butter,clarified",2.5
190224,"l","Milk, 1% fat, pasteurised",17.75
190224,"l","Bacon rashers, back, raw",66.0
190224,"l","mayoyo",15.0
190224,"br","Avocado, average, flesh only",50.0
190224,"br","mayoyo",15.0
190224,"br","Turkey, light meat, raw",150.0
190224,"br","almond bites",13.0
190224,"br","chocolate,schegetten,nut",11.0
190224,"br","Cheese, Feta",70.0
190225,"b","Bread, white, average",36.0
190225,"b","Eggs, chicken, whole, raw",52.0
190225,"b","butter,clarified",5
190225,"d","Turkey, light meat, raw",150.0
190225,"d","Pepper, capsicum, red, raw",111.7
