"X.date","meal","food","weight","protein","fat","carbohydrates","calories"
190119,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190119,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190119,"b","butter,clarified",5,0,2.5,0,22.5
190119,"b","Ham,parmacotto",20,3.8,1.6,0.1,30
190119,"l","Sweet potato, boiled in unsalted water, flesh only",90,0.99,0.27,18.45,75.6
190119,"l","Tomatoes, standard, raw",100,0.5,0.1,3,14
190119,"l","Spinach, baby, raw",50,1.3,0.3,0.1,8
190119,"l","mayoyo",24,0.216,1.5744,0.264,16.1856
190119,"l","cheese, spread,milbona",50,2.25,12.25,1.5,126
190119,"d","Turkey, light meat, raw",150,36.6,1.2,0,157.5
190119,"d","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190119,"d","Cucumber, raw, flesh and skin",100,1,0.6,1.2,14
190119,"br","chocolate,schegetten,nut",22,1.408,8.36,11,126.06
190119,"br","Coronation chicken, veronica",60,8.652,1.104,4.74,63.354
190120,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190120,"b","jam, apricot, hero",6,0.024,0.006,3.54,14.58
190120,"l","Pasta, egg, white, dried, raw",75,9.675,2.7,56.1,273.75
190120,"l","Aubergine, raw",70,0.63,0.28,1.54,10.5
190120,"l","Cheese, Ricotta",50,4.7,5.5,1,72
190120,"l","passata",70,1.47,0.14,4.62,28.7
190120,"br","pusd",170,6.987,17.6698,84.082,502.418
190120,"br","Apples, eating, raw, flesh and skin",137,0.822,0.685,15.892,69.87
190120,"d","Curry,ryoux,japanese",32.5,1.95,11.1475,15.275,169.325
190120,"d","Potatoes, new and salad, flesh only, raw",120,2.04,0.12,19.32,81.6
190120,"d","Carrots, old, raw",39,0.195,0.156,3.003,13.26
190120,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190120,"d","Turkey, light meat, raw",100,24.4,0.8,0,105
190120,"d","Apples, eating, raw, flesh and skin",26.5,0.159,0.1325,3.074,13.515
190120,"d","Rice, white, basmati, raw",50,4.05,0.25,41.85,175.5
190121,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190121,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190121,"b","Ham,parmacotto",20,3.8,1.6,0.1,30
190121,"l","Potatoes, old, boiled in salted water, flesh only",150,2.7,0.15,26.25,111
190121,"l","Tomatoes, standard, raw",120,0.6,0.12,3.6,16.8
190121,"l","Tuna, canned in sunflower oil, drained",52,13.208,3.328,0,82.68
190121,"br","Coronation chicken, veronica",80,11.536,1.472,6.32,84.472
190121,"br","chocolate,schegetten,nut",26.5,1.696,10.07,13.25,151.845
190121,"d","Spinach, baby, raw",100,2.6,0.6,0.2,16
190121,"d","Pork, diced, raw, lean",150,32.1,6,0,183
190121,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190121,"d","Garlic, raw",5,0.395,0.03,0.815,4.9
190121,"br","Frankfuter,mixed",100,12,18,4,226
190121,"br","mayoyo",10,0.09,0.656,0.11,6.744
190121,"br","Mayonnaise, standard, retail",30,0.33,22.44,0.72,205.8
190122,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190122,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190122,"b","butter,clarified",10,0,5,0,45
190122,"br","Cheese, hard, average",160,39.84,55.2,0.16,657.6
190122,"l","Potatoes, old, boiled in salted water, flesh only",150,2.7,0.15,26.25,111
190122,"l","Tomatoes, standard, raw",120,0.6,0.12,3.6,16.8
190122,"l","Tuna, canned in sunflower oil, drained",52,13.208,3.328,0,82.68
190122,"d","Spinach, baby, raw",100,2.6,0.6,0.2,16
190122,"d","Pork, diced, raw, lean",150,32.1,6,0,183
190122,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190122,"d","Garlic, raw",5,0.395,0.03,0.815,4.9
190122,"br","Chicken portions, battered, deep fried, takeaway",85,21.08,10.88,4.08,198.05
190122,"br","Melon, Galia, flesh only",200,1,0.2,11.2,48
190123,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190123,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190123,"b","butter,clarified",10,0,5,0,45
190123,"l","Potatoes, old, boiled in salted water, flesh only",150,2.7,0.15,26.25,111
190123,"l","Tomatoes, standard, raw",60,0.3,0.06,1.8,8.4
190123,"l","Cucumber, raw, flesh and skin",81,0.81,0.486,0.972,11.34
190123,"l","Tuna, canned in sunflower oil, drained",52,13.208,3.328,0,82.68
190123,"l","Mayonnaise, standard, retail",24,0.264,17.952,0.576,164.64
190123,"d","Spinach, baby, raw",100,2.6,0.6,0.2,16
190123,"d","Pork, diced, raw, lean",150,32.1,6,0,183
190123,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190123,"d","Garlic, raw",5,0.395,0.03,0.815,4.9
190123,"d","Cucumber, raw, flesh and skin",81,0.81,0.486,0.972,11.34
190123,"d","Avocado, average, flesh only",50,0.95,9.75,0.95,95
190123,"br","chocolate,schegetten,nut",16.5,1.056,6.27,8.25,94.545
190123,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190123,"br","Coronation chicken, veronica",80,11.536,1.472,6.32,84.472
190124,"b","Cornmeal, sifted",50,4.7,1.65,36.55,184
190124,"b","butter,clarified",5,0,2.5,0,22.5
190124,"br","pusd",60,2.466,6.2364,29.676,177.324
190124,"l","Pasta, egg, white, dried, raw",75,9.675,2.7,56.1,273.75
190124,"l","Cream, dairy, extra thick (24% fat)",62.5,1.8125,14.6875,2.125,147.5
190124,"l","Pesto, green",12,0.672,5.1,0.468,50.4
190124,"br","chocolate,schegetten,nut",5.5,0.352,2.09,2.75,31.515
190124,"d","Pork, diced, raw, lean",100,21.4,4,0,122
190124,"d","Pepper, capsicum, red, raw",50,0.4,0.1,2.15,10.5
190124,"d","Noodles, rice, fine, dried, boiled in unsalted water",75,1.425,0.15,15.975,66.75
190124,"d","Sweetcorn kernels, canned in water, drained",25,0.65,0.425,3.475,19.5
190126,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190126,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190126,"b","butter,clarified",5,0,2.5,0,22.5
190126,"l","Lentils, green and brown, whole, dried, raw",47.5,11.5425,0.9025,23.18,141.075
190126,"l","Cabbage, average, raw",100,1.8,0.2,4.4,26
190126,"l","Tomatoes, standard, raw",100,0.5,0.1,3,14
190126,"l","Bacon rashers, back, raw",50,8.25,8.25,0,107.5
190126,"d","Turkey, light meat, raw",100,24.4,0.8,0,105
190126,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190126,"d","Pepper, capsicum, red, raw",50,0.4,0.1,2.15,10.5
190126,"d","Mushrooms, white, raw",50,0.5,0.1,0.15,3.5
190126,"d","Yogurt, low fat, plain",100,4.8,1,7.8,57
190126,"br","Peanuts, dry roasted",5,1.285,2.49,0.515,29.5
190126,"br","Chestnuts, dried",30,1.11,1.53,20.7,95.7
190126,"br","Avocado, average, flesh only",200,3.8,39,3.8,380
190126,"br","Turkey, light meat, raw",150,36.6,1.2,0,157.5
190126,"br","Mayonnaise, standard, retail",30,0.33,22.44,0.72,205.8
190126,"br","Salami",50,10.45,19.6,0.25,219
190126,"br","chocolate,schegetten,nut",11,0.704,4.18,5.5,63.03
190127,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190127,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190127,"b","butter,clarified",5,0,2.5,0,22.5
190127,"l","Lentils, green and brown, whole, dried, raw",47.5,11.5425,0.9025,23.18,141.075
190127,"l","Cabbage, average, raw",100,1.8,0.2,4.4,26
190127,"l","Tomatoes, standard, raw",100,0.5,0.1,3,14
190127,"l","Bacon rashers, back, raw",50,8.25,8.25,0,107.5
190127,"d","Turkey, light meat, raw",200,48.8,1.6,0,210
190127,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190127,"d","Pepper, capsicum, red, raw",50,0.4,0.1,2.15,10.5
190127,"d","Yogurt, low fat, plain",100,4.8,1,7.8,57
190127,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190127,"br","Turkey, light meat, raw",150,36.6,1.2,0,157.5
190127,"br","Mayonnaise, standard, retail",40,0.44,29.92,0.96,274.4
190127,"br","chocolate,schegetten,nut",16.5,1.056,6.27,8.25,94.545
190202,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190202,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190202,"b","butter,clarified",5,0,2.5,0,22.5
190202,"l","Cabbage, average, raw",100,1.8,0.2,4.4,26
190202,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190202,"l","butter,clarified",2.8,0,1.4,0,12.6
190202,"l","Milk, 1% fat, pasteurised",19.5,0.6825,0.195,0.936,7.995
190202,"l","Bacon rashers, back, raw",33.3,5.4945,5.4945,0,71.595
190202,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190202,"d","Pepper, capsicum, red, raw",100,0.8,0.2,4.3,21
190202,"d","Oil, sunflower",10,0,9.99,0,89.9
190202,"d","Pork, diced, raw, lean",100,21.4,4,0,122
190202,"br","chocolate,schegetten,nut",55,3.52,20.9,27.5,315.15
190202,"br","Oranges, flesh only",100,0.8,0.2,8.2,36
190202,"br","Cheese, Feta",100,15.6,20.2,1.5,250
190202,"br","Turkey, light meat, raw",200,48.8,1.6,0,210
190202,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190202,"br","Bread, white, average",36,2.7,1.44,17.28,95.04
190203,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190203,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190203,"b","butter,clarified",5,0,2.5,0,22.5
190203,"l","Cabbage, average, raw",100,1.8,0.2,4.4,26
190203,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190203,"l","butter,clarified",2.8,0,1.4,0,12.6
190203,"l","Milk, 1% fat, pasteurised",19.5,0.6825,0.195,0.936,7.995
190203,"l","Bacon rashers, back, raw",33.3,5.4945,5.4945,0,71.595
190203,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190203,"d","Pepper, capsicum, red, raw",100,0.8,0.2,4.3,21
190203,"d","Oil, sunflower",10,0,9.99,0,89.9
190203,"d","Pork, diced, raw, lean",100,21.4,4,0,122
190203,"br","chocolate,schegetten,nut",11,0.704,4.18,5.5,63.03
190203,"br","Oranges, flesh only",25,0.2,0.05,2.05,9
190203,"br","Cheese, Feta",26,4.056,5.252,0.39,65
190203,"br","Turkey, light meat, raw",100,24.4,0.8,0,105
190203,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190203,"br","mayoyo",25,0.225,1.64,0.275,16.86
190204,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190204,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190204,"b","butter,clarified",5,0,2.5,0,22.5
190204,"l","Cabbage, average, raw",100,1.8,0.2,4.4,26
190204,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190204,"l","butter,clarified",2.8,0,1.4,0,12.6
190204,"l","Milk, 1% fat, pasteurised",19.5,0.6825,0.195,0.936,7.995
190204,"l","Bacon rashers, back, raw",33.3,5.4945,5.4945,0,71.595
190204,"d","Onions, raw",42,0.42,0.042,3.36,14.7
190204,"d","Pepper, capsicum, red, raw",100,0.8,0.2,4.3,21
190204,"d","Oil, sunflower",10,0,9.99,0,89.9
190204,"d","Pork, diced, raw, lean",100,21.4,4,0,122
190204,"br","chocolate,schegetten,nut",11,0.704,4.18,5.5,63.03
190204,"br","Cheese, Feta",15,2.34,3.03,0.225,37.5
190204,"br","Turkey, light meat, raw",100,24.4,0.8,0,105
190204,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190204,"br","mayoyo",25,0.225,1.64,0.275,16.86
190204,"br","crunchy,dark",22,1.342,5.5,12.54,107.58
190205,"b","Bread, white, average",63,4.725,2.52,30.24,166.32
190205,"b","margarine",10,0,8.2,0,73.8
190206,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190206,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190206,"b","margarine",5,0,4.1,0,36.9
190206,"l","Tomatoes, standard, raw",100,0.5,0.1,3,14
190206,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190206,"l","Cod, flesh only, raw",100,17.5,0.6,0,75
190206,"l","Oil, sunflower",3.5,0,3.4965,0,31.465
190206,"d","Turkey, light meat, raw",150,36.6,1.2,0,157.5
190206,"d","Spinach, baby, raw",100,2.6,0.6,0.2,16
190206,"d","Tomato ketchup",20,0.32,0.02,5.72,23
190206,"d","mayoyo",25,0.225,1.64,0.275,16.86
190206,"br","Turkey, light meat, raw",100,24.4,0.8,0,105
190206,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190206,"br","mayoyo",25,0.225,1.64,0.275,16.86
190206,"br","chocolate,schegetten,nut",22,1.408,8.36,11,126.06
190207,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190207,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190207,"b","margarine",5,0,4.1,0,36.9
190207,"l","Tomatoes, standard, raw",100,0.5,0.1,3,14
190207,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190207,"l","Cod, flesh only, raw",100,17.5,0.6,0,75
190207,"l","Oil, sunflower",3.5,0,3.4965,0,31.465
190207,"d","Turkey, light meat, raw",150,36.6,1.2,0,157.5
190207,"d","Spinach, baby, raw",100,2.6,0.6,0.2,16
190207,"d","mayoyo",65,0.585,4.264,0.715,43.836
190207,"br","Turkey, light meat, raw",100,24.4,0.8,0,105
190207,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190207,"br","mayoyo",25,0.225,1.64,0.275,16.86
190207,"d","Tomato ketchup",20,0.32,0.02,5.72,23
190207,"br","chocolate,schegetten,nut",11,0.704,4.18,5.5,63.03
190207,"br","Oranges, flesh only",25,0.2,0.05,2.05,9
190207,"br","almond bites",13,2.184,5.148,4.238,74.62
190207,"br","salamini",45,5.85,7.65,0,200.25
190208,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190208,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190208,"b","margarine",5,0,4.1,0,36.9
190208,"l","Tomatoes, standard, raw",100,0.5,0.1,3,14
190208,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190208,"l","Cod, flesh only, raw",100,17.5,0.6,0,75
190208,"l","Oil, sunflower",3.5,0,3.4965,0,31.465
190208,"d","Turkey, light meat, raw",150,36.6,1.2,0,157.5
190208,"d","Spinach, baby, raw",100,2.6,0.6,0.2,16
190208,"d","mayoyo",65,0.585,4.264,0.715,43.836
190208,"br","Pork, diced, raw, lean",100,21.4,4,0,122
190208,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190208,"l","mayoyo",50,0.45,3.28,0.55,33.72
190208,"d","Tomato ketchup",20,0.32,0.02,5.72,23
190208,"br","chocolate,schegetten,nut",22,1.408,8.36,11,126.06
190208,"br","bread,potato",20,2.6,0.62,9.4,53.2
190208,"br","almond bites",13,2.184,5.148,4.238,74.62
190208,"br","Oranges, flesh only",25,0.2,0.05,2.05,9
190210,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190210,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190210,"b","margarine",5,0,4.1,0,36.9
190210,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190210,"l","Tuna, canned in sunflower oil, drained",52,13.208,3.328,0,82.68
190210,"l","Onions, raw",52,0.52,0.052,4.16,18.2
190210,"br","almond bites",26,4.368,10.296,8.476,149.24
190210,"br","Oranges, flesh only",25,0.2,0.05,2.05,9
190210,"br","chocolate,schegetten,nut",16.5,1.056,6.27,8.25,94.545
190210,"d","Pork, diced, raw, lean",150,32.1,6,0,183
190210,"d","Oil, sunflower",15,0,14.985,0,134.85
190210,"br","Beef, braising steak, raw, lean",100,21.8,5.7,0,139
190210,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190210,"br","mayoyo",50,0.45,3.28,0.55,33.72
190211,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190211,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190211,"b","margarine",5,0,4.1,0,36.9
190211,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190211,"l","Tuna, canned in sunflower oil, drained",52,13.208,3.328,0,82.68
190211,"l","Onions, raw",52,0.52,0.052,4.16,18.2
190211,"br","chocolate,schegetten,nut",11,0.704,4.18,5.5,63.03
190211,"d","Pork, diced, raw, lean",150,32.1,6,0,183
190211,"d","passata",50,1.05,0.1,3.3,20.5
190211,"d","Oil, sunflower",15,0,14.985,0,134.85
190211,"br","Pork, diced, raw, lean",100,21.4,4,0,122
190211,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190211,"br","mayoyo",25,0.225,1.64,0.275,16.86
190211,"br","Cheese, Gouda",25,6.325,7.65,0,94.25
190211,"br","Ham",20,3.68,0.66,0.2,21.4
190213,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190213,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190213,"b","margarine",5,0,4.1,0,36.9
190213,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190213,"l","Tuna, canned in sunflower oil, drained",52,13.208,3.328,0,82.68
190213,"l","Onions, raw",52,0.52,0.052,4.16,18.2
190213,"d","Pork, diced, raw, lean",150,32.1,6,0,183
190213,"d","passata",50,1.05,0.1,3.3,20.5
190213,"d","Oil, sunflower",15,0,14.985,0,134.85
190213,"br","Ham",20,3.68,0.66,0.2,21.4
190213,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190213,"br","mayoyo",25,0.225,1.64,0.275,16.86
190213,"br","Turkey, light meat, raw",150,36.6,1.2,0,157.5
190214,"b","Ham",20,3.68,0.66,0.2,21.4
190214,"b","Bread, white, average",36,2.7,1.44,17.28,95.04
190214,"b","Eggs, chicken, whole, raw",52,6.552,4.68,0,68.12
190214,"b","margarine",5,0,4.1,0,36.9
190214,"br","chocolate,schegetten,nut",16.5,1.056,6.27,8.25,94.545
190214,"br","Avocado, average, flesh only",100,1.9,19.5,1.9,190
190214,"br","mayoyo",25,0.225,1.64,0.275,16.86
190214,"l","Potatoes, new and salad, flesh only, raw",150,2.55,0.15,24.15,102
190214,"l","Bacon rashers, back, raw",33.3,5.4945,5.4945,0,71.595
190214,"l","passata",100,2.1,0.2,6.6,41
190214,"l","Cheese, Ricotta",30,2.82,3.3,0.6,43.2
190214,"d","Turkey, light meat, raw",150,36.6,1.2,0,157.5
190214,"d","Pepper, capsicum, red, raw",40,0.32,0.08,1.72,8.4
190214,"d","Tomatoes, standard, raw",50,0.25,0.05,1.5,7
190214,"d","Cream, dairy, extra thick (24% fat)",62.5,1.8125,14.6875,2.125,147.5
